Name,Full Address,Services,Cost Level,Quality Score,User Rating
Johnken Specialist Private Hospital,"28b Campus Road, Lagos Island","General Medicine, Minor Surgical Procedures",Medium,3,3.8
Afrimed Specialist Hospital,"2B Williams Street, Sawmill, Gbagada","Pediatric Cardiology, Neonatal Intensive Care",High,4,4.1
A And A Medical Diagnostic Centre,"Ishaga Road, Surulere","Diagnostic Imaging, Laboratory Testing",Medium,3,3.5
AB 10 Specialist Hospital,"Harmony Estate, Off Karaole Estate, Iju Road, Agege",Primary Healthcare Services,Low,3,3.2
AB Specialist Clinic,"Tinubu Square, Lagos Island","Dental Procedures, Ophthalmology Services",Medium,3,3.7
AB Specialist Hospital Limited,"Olugbende Street, Off Idimu Street","Surgical Services, Obstetric Care",Medium,4,4
Abey K Medical Centre,"Airport Road, Ikeja",Emergency Medical Services,Low,3,3.4
Active Health Managers Limited,"Dolphin Estate, Ikoyi",Corporate Health Management,High,4,4.2
Adefemi Hospital,Ipaja,"Pediatric Care, Antenatal Services",Low,3,3.6
Adesola Clinic,"Onobola Street, Bariga",Primary Healthcare,Low,3,3.1
Agbonmagbe Olumide Memorial Specialist Hospital,"10 Lawal Street, Jibowu","Surgical Procedures, Diagnostic Services",Medium,4,4
Ahmadiyya Clinic (Hospital),Appa,General Medical Practice,Low,3,3.5
Ahmadiyya Hospital,Ojokoro,Primary Healthcare Services,Low,3,3.4
Ajangbadi Central Hospital,"1 Adeola Street, Afromedia, Ajangbadi","Emergency Care, Maternity Services",Low,3,3.3
Alalade Memorial Hospital,Ijesatedo,General Medical Practice,Low,3,3.2
Alfer Hospital,Victoria Island,Multispecialty Medical Services,Premium,5,4.5
Alheri Hospital,Ojodu,"Pediatric Medicine, General Surgery",Medium,3,3.8
All In Care Hospital,"17 Coker Street, Ifako-Ijaiye",General Surgical Services,Medium,4,4
All Souls Clinics Limited,"Ojo Road, Mile 2, Ajegunle",Primary Healthcare,Low,3,3.3
Amazing Saints Hospital,Ikeja,General Medical Practice,Low,3,3.4
Apapa General Hospital,Apapa,"General Medicine, Emergency Services",Low,3,3.4
Aruna Ogun Memorial Specialist Hospital,"3/4 Bamimosu Street, Ebute, Ikorodu","Surgical Services, Pediatric Care",Medium,4,4
Ayo-Ade Oshin Memorial Hospital,"Hawley Street, Lagos","Maternity Services, General Practice",Low,3,3.5
Badamus Hospital,Lagos Airport Road,"Emergency Medicine, Surgical Services",Medium,3,3.7
Badagari General Hospital,Badagry,General Medical Services,Low,3,3.2
BAF Eye Centre Ltd,"Oba Adetona Street, Ilupeju",Ophthalmology Services,High,4,4.2
Barnes Diagnostic And Heart Centre,"Ajose Adeogun Street, Victoria Island","Cardiac Diagnostics, Treatment",Premium,5,4.6
Base Hospital - NA,"Myhoung Barracks, Yaba",Military Healthcare Services,Low,3,3.3
Baylight Watch Hospitals Ltd,Ikorodu,General Medical Practice,Low,3,3.4
Betta Hospital Ltd,"Orile, Agege",Primary Healthcare Services,Low,3,3.3
Bimax Hospital and Maternity Home,"Surulere Street, Dopemu-Agege","Maternity Care, Pediatric Services",Medium,3,3.8
Bissalam Hospital Ltd,"Modupe-Shitta Street, Egbe",General Surgical Procedures,Medium,3,3.7
Bodet Medicare and Maternity,"Alausa, Ikeja","Maternity Services, Primary Care",Low,3,3.5
Blue Cross Hospital,"Ijaiye Road, Ogba",General Medical Practice,Low,3,3.6
Budo Specialist Hospital,"Peninsula Resort, Ajah","Advanced Surgical Services, ICU Care",Premium,5,4.7
Broad Clinic & Maternity Home,"Oba Amusa Avenue, Off Alake","Maternity Services, General Practice",Low,3,3.4
Calvary Medical Center,"5 Silva Street, Mushin",Primary Healthcare Services,Low,3,3.3
Cathem Eye Hospital,"78 Adeniyi Jones, Ikeja",Comprehensive Eye Care,High,4,4.3
Chinedum Private Hospital,"55 Ojogbe Road, Ikorodu",General Medical Practice,Low,3,3.5
Chironna Medical Centre,"Adebola Street, Surulere",Primary Healthcare Services,Low,3,3.4
Christ Medical Centre,"Randle Road, Apapa",General Medicine,Low,3,3.6
Our Lord Christ Medical Centre,"11 Kodejoh Street, Ikeja",Primary Healthcare,Low,3,3.5
Chromeu Medical Centre,"Olufemi Samson Street, Okomalam",General Practice,Low,3,3.3
Citizen Medical Centre,"86 Norman Williams, Ikoyi",General Medicine,Medium,4,4.1
City Hospital and Maternity Care,"Jimoh Ojora Road, Ajegunle","Maternity Services, Pediatric Care",Low,3,3.7
Clear View Optics Ltd,"Alhaji Ribadu Road, Ikoyi",Optometry Services,Medium,4,4
Continental Hospital & Maternity,"11 Ago Owu Street, Onipanu","Maternity Care, Surgical Services",Medium,3,3.8
Crest Consultant Clinic,"Keffi Street, Ikoyi",Specialist Medical Consultations,High,4,4.2
Critical Rescue International,Ikeja HQ,Emergency Medical Services,Medium,4,4
Crystal Hospital,"35 Charles Road, Akowonjo",General Medicine,Low,3,3.5
Crystal Specialist Hospital,"Egbeda Road, Dopemu-Agege","Surgical Procedures, Diagnostic Services",Medium,4,4.1
Debof Clinic Limited,"85 Ladipo Street, Mushin",General Practice,Low,3,3.4
Deji Clinic,"Demurin Street, Ketu",Primary Healthcare,Low,3,3.3
Deji Clinic,"Daddy Savage Road, Fagba",Basic Medical Services,Low,3,3.2
Demola Hospital,"26 Olaide Village, Ikorodu",General Medicine,Low,3,3.5
Deseret International Hospital,"23a Oduduwa Crescent, GRA Ikeja",Multispecialty Medical Center,Premium,5,4.5
Diamondshield Health Services,Ikoyi,Corporate Healthcare Programs,High,4,4.3
Divine Medical Centre,"16 Akanbi Danmole Street, Ikoyi",General Practice,Medium,4,4
Dolfac Medical Centre,"Ibukun-Olu Street, Akoka","General Consultations, Basic Diagnostics",Low,3,3.4
Dolu Hospital,"7 Sunmola Abayomi Street, Mafoluku-Oshodi","Primary Healthcare, Minor Procedures",Low,3,3.3
Dolu Medical Centre,"Sunday Saidi, Egbeda","Basic Health Screenings, Vaccinations",Low,3,3.2
Doren Specialist Hospital,"1 Kemfat Road, Ajah","Pediatric Surgery, Neonatal Intensive Care",High,4,4
Dortem Specialist Hospital,"Babs Animashahun Road, Surulere","Orthopedic Surgery, Sports Medicine",High,4,4.1
Duro Soleye Hospitals,"Allen Avenue, Ikeja","Cardiac Care, Neurological Services, Advanced Imaging",Premium,5,4.3
Ebutameta Health Center,Ebute Metta,"Community Health Services, Immunizations",Low,2,3.1
Echos Hospital,102 Apapa Road,"General Medicine, Emergency Care",Low,3,3.3
Ekemode Memorial Hospital,"Bode Thomas Street, Surulere","Obstetrics, Gynecological Services",Medium,4,3.8
